data,_loaded_at
"{""product_id"": ""P-277"", ""name"": "" Lg Shoes "", ""category"": ""HOME GOODS"", ""sub_category"": ""laptops"", ""brand"": ""lg"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""1.5"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 1181.59, ""list_price"": 1522.77, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""91"", ""reorder_lvl"": ""14"", ""warehouse"": ""WH-NORTH""}}",2024-05-21 07:37:00
"{""product_id"": ""P-113"", ""name"": "" Samsung Televisions "", ""category"": ""Apparel"", ""sub_category"": ""televisions"", ""brand"": ""sony"", ""is_available"": ""0"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""9.8"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 50.14, ""list_price"": 64.02, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""7"", ""reorder_lvl"": ""12"", ""warehouse"": ""WH-WEST""}}",2024-05-26 18:30:00
"{""product_id"": ""P-125"", ""name"": "" Samsung Kitchen "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""lg"", ""is_available"": ""NO"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""1.3"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 1300.35, ""list_price"": 1580.01, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""24"", ""reorder_lvl"": ""8"", ""warehouse"": ""WH-WEST""}}",2024-04-13 23:21:00
"{""product_id"": ""P-056"", ""name"": "" Lg Phones "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""apple"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""17.3"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 308.14, ""list_price"": 534.88, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""57"", ""reorder_lvl"": ""9"", ""warehouse"": ""WH-WEST""}}",2024-01-13 20:34:00
"{""product_id"": ""P-008"", ""name"": "" Lg Kitchen "", ""category"": ""HOME GOODS"", ""sub_category"": ""phones"", ""brand"": ""lg"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""0.2"", ""warranty_yr"": ""4""}, ""pricing"": {""cost_price"": 1688.46, ""list_price"": 1939.54, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""30"", ""reorder_lvl"": ""10"", ""warehouse"": ""WH-EAST""}}",2024-04-26 09:27:00
"{""product_id"": ""P-357"", ""name"": "" Apple Phones "", ""category"": ""Apparel"", ""sub_category"": ""phones"", ""brand"": ""samsung"", ""is_available"": ""true"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""1.4"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 1721.58, ""list_price"": 1916.77, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""71"", ""reorder_lvl"": ""20"", ""warehouse"": ""WH-WEST""}}",2024-01-13 18:30:00
"{""product_id"": ""P-258"", ""name"": "" Apple Televisions "", ""category"": ""ELECTRONICS"", ""sub_category"": ""phones"", ""brand"": ""lg"", ""is_available"": ""1"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""11.5"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 1312.9, ""list_price"": 1842.8, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""7"", ""reorder_lvl"": ""7"", ""warehouse"": ""WH-NORTH""}}",2024-01-11 19:05:00
"{""product_id"": ""P-215"", ""name"": "" Apple Shoes "", ""category"": ""electronics"", ""sub_category"": ""shoes"", ""brand"": ""lg"", ""is_available"": ""0"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""6.1"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 967.07, ""list_price"": 1331.88, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""40"", ""reorder_lvl"": ""13"", ""warehouse"": ""WH-WEST""}}",2024-01-03 14:39:00
"{""product_id"": ""P-289"", ""name"": "" Apple Shoes "", ""category"": ""ELECTRONICS"", ""sub_category"": ""phones"", ""brand"": ""nike"", ""is_available"": ""YES"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""16.7"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 1054.58, ""list_price"": 1992.39, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""27"", ""reorder_lvl"": ""13"", ""warehouse"": ""WH-NORTH""}}",2024-06-16 16:00:00
"{""product_id"": ""P-342"", ""name"": "" Apple Shoes "", ""category"": ""ELECTRONICS"", ""sub_category"": ""televisions"", ""brand"": ""adidas"", ""is_available"": ""true"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""5.8"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 1018.47, ""list_price"": 1643.35, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""84"", ""reorder_lvl"": ""8"", ""warehouse"": ""WH-NORTH""}}",2024-03-28 06:43:00
"{""product_id"": ""P-325"", ""name"": "" Samsung Kitchen "", ""category"": ""Apparel"", ""sub_category"": ""televisions"", ""brand"": ""samsung"", ""is_available"": ""YES"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""12.8"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 1202.93, ""list_price"": 1713.18, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""32"", ""reorder_lvl"": ""6"", ""warehouse"": ""WH-WEST""}}",2024-04-23 17:45:00
"{""product_id"": ""P-219"", ""name"": "" Sony Televisions "", ""category"": ""Apparel"", ""sub_category"": ""laptops"", ""brand"": ""sony"", ""is_available"": ""0"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""1.0"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 623.07, ""list_price"": 1143.77, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""88"", ""reorder_lvl"": ""9"", ""warehouse"": ""WH-WEST""}}",2024-04-01 06:43:00
"{""product_id"": ""P-128"", ""name"": "" Sony Phones "", ""category"": ""electronics"", ""sub_category"": ""phones"", ""brand"": ""apple"", ""is_available"": ""NO"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""14.8"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 866.32, ""list_price"": 1350.52, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""71"", ""reorder_lvl"": ""18"", ""warehouse"": ""WH-EAST""}}",2024-06-20 23:51:00
"{""product_id"": ""P-128"", ""name"": "" Samsung Kitchen "", ""category"": ""electronics"", ""sub_category"": ""phones"", ""brand"": ""lg"", ""is_available"": ""YES"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""15.9"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 464.74, ""list_price"": 570.27, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""13"", ""reorder_lvl"": ""17"", ""warehouse"": ""WH-WEST""}}",2024-01-07 21:12:00
"{""product_id"": ""P-205"", ""name"": "" Nike Laptops "", ""category"": ""HOME GOODS"", ""sub_category"": ""laptops"", ""brand"": ""nike"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""19.4"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 583.65, ""list_price"": 690.11, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""98"", ""reorder_lvl"": ""13"", ""warehouse"": ""WH-NORTH""}}",2024-03-08 01:06:00
"{""product_id"": ""P-306"", ""name"": "" Sony Laptops "", ""category"": ""ELECTRONICS"", ""sub_category"": ""kitchen"", ""brand"": ""sony"", ""is_available"": ""0"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""14.2"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 710.22, ""list_price"": 897.4, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""40"", ""reorder_lvl"": ""18"", ""warehouse"": ""WH-NORTH""}}",2024-05-17 21:46:00
"{""product_id"": ""P-380"", ""name"": "" Adidas Shoes "", ""category"": ""Apparel"", ""sub_category"": ""televisions"", ""brand"": ""adidas"", ""is_available"": ""YES"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""13.4"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 860.82, ""list_price"": 1487.22, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""55"", ""reorder_lvl"": ""7"", ""warehouse"": ""WH-EAST""}}",2024-06-27 09:35:00
"{""product_id"": ""P-066"", ""name"": "" Sony Laptops "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""sony"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""4.4"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 324.84, ""list_price"": 424.09, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""48"", ""reorder_lvl"": ""10"", ""warehouse"": ""WH-NORTH""}}",2024-06-16 10:29:00
"{""product_id"": ""P-227"", ""name"": "" Adidas Televisions "", ""category"": ""Apparel"", ""sub_category"": ""laptops"", ""brand"": ""adidas"", ""is_available"": ""false"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""2.0"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 534.08, ""list_price"": 912.21, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""60"", ""reorder_lvl"": ""10"", ""warehouse"": ""WH-NORTH""}}",2024-03-20 07:51:00
"{""product_id"": ""P-102"", ""name"": "" Lg Kitchen "", ""category"": ""electronics"", ""sub_category"": ""kitchen"", ""brand"": ""lg"", ""is_available"": ""NO"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""13.2"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 174.91, ""list_price"": 337.34, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""60"", ""reorder_lvl"": ""7"", ""warehouse"": ""WH-WEST""}}",2024-04-18 07:11:00
"{""product_id"": ""P-357"", ""name"": "" Lg Phones "", ""category"": ""HOME GOODS"", ""sub_category"": ""laptops"", ""brand"": ""sony"", ""is_available"": ""true"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""15.2"", ""warranty_yr"": ""4""}, ""pricing"": {""cost_price"": 551.3, ""list_price"": 1060.02, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""31"", ""reorder_lvl"": ""8"", ""warehouse"": ""WH-NORTH""}}",2024-05-09 13:53:00
"{""product_id"": ""P-281"", ""name"": "" Nike Phones "", ""category"": ""Apparel"", ""sub_category"": ""laptops"", ""brand"": ""lg"", ""is_available"": ""false"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""8.9"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 518.31, ""list_price"": 919.53, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""60"", ""reorder_lvl"": ""19"", ""warehouse"": ""WH-WEST""}}",2024-03-10 10:20:00
"{""product_id"": ""P-277"", ""name"": "" Adidas Phones "", ""category"": ""ELECTRONICS"", ""sub_category"": ""kitchen"", ""brand"": ""lg"", ""is_available"": ""YES"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""8.4"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 116.06, ""list_price"": 207.13, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""49"", ""reorder_lvl"": ""9"", ""warehouse"": ""WH-EAST""}}",2024-04-09 18:44:00
"{""product_id"": ""P-011"", ""name"": "" Samsung Shoes "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""lg"", ""is_available"": ""true"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""11.0"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 1387.24, ""list_price"": 1720.63, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""48"", ""reorder_lvl"": ""20"", ""warehouse"": ""WH-WEST""}}",2024-05-04 07:17:00
"{""product_id"": ""P-224"", ""name"": "" Adidas Phones "", ""category"": ""HOME GOODS"", ""sub_category"": ""phones"", ""brand"": ""sony"", ""is_available"": ""true"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""8.0"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 653.58, ""list_price"": 997.0, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""85"", ""reorder_lvl"": ""17"", ""warehouse"": ""WH-NORTH""}}",2024-01-07 02:41:00
"{""product_id"": ""P-220"", ""name"": "" Lg Shoes "", ""category"": ""electronics"", ""sub_category"": ""kitchen"", ""brand"": ""nike"", ""is_available"": ""YES"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""7.7"", ""warranty_yr"": ""4""}, ""pricing"": {""cost_price"": 215.41, ""list_price"": 314.61, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""6"", ""reorder_lvl"": ""13"", ""warehouse"": ""WH-EAST""}}",2024-01-21 15:01:00
"{""product_id"": ""P-384"", ""name"": "" Adidas Televisions "", ""category"": ""ELECTRONICS"", ""sub_category"": ""televisions"", ""brand"": ""apple"", ""is_available"": ""0"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""12.5"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 991.64, ""list_price"": 1101.87, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""44"", ""reorder_lvl"": ""12"", ""warehouse"": ""WH-WEST""}}",2024-05-01 21:07:00
"{""product_id"": ""P-289"", ""name"": "" Apple Laptops "", ""category"": ""ELECTRONICS"", ""sub_category"": ""phones"", ""brand"": ""nike"", ""is_available"": ""1"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""18.6"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 1302.14, ""list_price"": 1898.13, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""32"", ""reorder_lvl"": ""16"", ""warehouse"": ""WH-NORTH""}}",2024-04-06 12:45:00
"{""product_id"": ""P-102"", ""name"": "" Samsung Shoes "", ""category"": ""ELECTRONICS"", ""sub_category"": ""laptops"", ""brand"": ""samsung"", ""is_available"": ""YES"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""13.3"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 153.84, ""list_price"": 198.19, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""80"", ""reorder_lvl"": ""12"", ""warehouse"": ""WH-NORTH""}}",2024-06-14 10:00:00
"{""product_id"": ""P-216"", ""name"": "" Adidas Phones "", ""category"": ""HOME GOODS"", ""sub_category"": ""phones"", ""brand"": ""adidas"", ""is_available"": ""true"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""5.5"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 896.58, ""list_price"": 1653.55, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""46"", ""reorder_lvl"": ""19"", ""warehouse"": ""WH-EAST""}}",2024-04-29 13:52:00
"{""product_id"": ""P-375"", ""name"": "" Nike Kitchen "", ""category"": ""electronics"", ""sub_category"": ""kitchen"", ""brand"": ""sony"", ""is_available"": ""true"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""6.9"", ""warranty_yr"": ""4""}, ""pricing"": {""cost_price"": 758.06, ""list_price"": 1205.33, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""31"", ""reorder_lvl"": ""7"", ""warehouse"": ""WH-EAST""}}",2024-02-16 15:13:00
"{""product_id"": ""P-182"", ""name"": "" Sony Televisions "", ""category"": ""electronics"", ""sub_category"": ""televisions"", ""brand"": ""apple"", ""is_available"": ""false"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""11.2"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 1021.49, ""list_price"": 1605.77, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""76"", ""reorder_lvl"": ""13"", ""warehouse"": ""WH-NORTH""}}",2024-05-01 20:45:00
"{""product_id"": ""P-252"", ""name"": "" Lg Phones "", ""category"": ""Apparel"", ""sub_category"": ""laptops"", ""brand"": ""nike"", ""is_available"": ""NO"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""7.0"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 468.34, ""list_price"": 923.94, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""37"", ""reorder_lvl"": ""12"", ""warehouse"": ""WH-EAST""}}",2024-03-31 22:29:00
"{""product_id"": ""P-139"", ""name"": "" Nike Televisions "", ""category"": ""electronics"", ""sub_category"": ""phones"", ""brand"": ""apple"", ""is_available"": ""false"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""14.5"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 383.7, ""list_price"": 647.91, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""92"", ""reorder_lvl"": ""11"", ""warehouse"": ""WH-NORTH""}}",2024-03-13 03:53:00
"{""product_id"": ""P-100"", ""name"": "" Adidas Laptops "", ""category"": ""electronics"", ""sub_category"": ""shoes"", ""brand"": ""samsung"", ""is_available"": ""1"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""14.0"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 404.45, ""list_price"": 627.68, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""38"", ""reorder_lvl"": ""5"", ""warehouse"": ""WH-NORTH""}}",2024-05-05 03:55:00
"{""product_id"": ""P-007"", ""name"": "" Apple Televisions "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""samsung"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""1.7"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 804.29, ""list_price"": 1169.43, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""56"", ""reorder_lvl"": ""15"", ""warehouse"": ""WH-WEST""}}",2024-02-08 18:19:00
"{""product_id"": ""P-044"", ""name"": "" Sony Laptops "", ""category"": ""electronics"", ""sub_category"": ""laptops"", ""brand"": ""lg"", ""is_available"": ""NO"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""6.1"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 1088.27, ""list_price"": 1988.14, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""97"", ""reorder_lvl"": ""18"", ""warehouse"": ""WH-EAST""}}",2024-03-19 18:39:00
"{""product_id"": ""P-031"", ""name"": "" Adidas Phones "", ""category"": ""Apparel"", ""sub_category"": ""televisions"", ""brand"": ""apple"", ""is_available"": ""0"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""1.7"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 986.11, ""list_price"": 1238.78, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""97"", ""reorder_lvl"": ""11"", ""warehouse"": ""WH-EAST""}}",2024-04-25 22:38:00
"{""product_id"": ""P-241"", ""name"": "" Adidas Kitchen "", ""category"": ""ELECTRONICS"", ""sub_category"": ""phones"", ""brand"": ""nike"", ""is_available"": ""false"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""16.1"", ""warranty_yr"": ""2""}, ""pricing"": {""cost_price"": 366.2, ""list_price"": 617.96, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""90"", ""reorder_lvl"": ""14"", ""warehouse"": ""WH-EAST""}}",2024-01-30 17:14:00
"{""product_id"": ""P-332"", ""name"": "" Samsung Phones "", ""category"": ""Apparel"", ""sub_category"": ""laptops"", ""brand"": ""adidas"", ""is_available"": ""true"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""8.9"", ""warranty_yr"": ""4""}, ""pricing"": {""cost_price"": 206.45, ""list_price"": 340.53, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""18"", ""reorder_lvl"": ""7"", ""warehouse"": ""WH-NORTH""}}",2024-03-18 22:25:00
"{""product_id"": ""P-140"", ""name"": "" Lg Shoes "", ""category"": ""Apparel"", ""sub_category"": ""televisions"", ""brand"": ""samsung"", ""is_available"": ""0"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""16.8"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 715.6, ""list_price"": 1025.92, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""10"", ""reorder_lvl"": ""6"", ""warehouse"": ""WH-NORTH""}}",2024-01-06 21:52:00
"{""product_id"": ""P-138"", ""name"": "" Sony Kitchen "", ""category"": ""Apparel"", ""sub_category"": ""phones"", ""brand"": ""sony"", ""is_available"": ""NO"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""9.9"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 945.1, ""list_price"": 1173.68, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""22"", ""reorder_lvl"": ""20"", ""warehouse"": ""WH-EAST""}}",2024-03-30 13:21:00
"{""product_id"": ""P-165"", ""name"": "" Adidas Kitchen "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""sony"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""6.4"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 1143.88, ""list_price"": 1356.76, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""42"", ""reorder_lvl"": ""18"", ""warehouse"": ""WH-WEST""}}",2024-04-13 16:52:00
